Order No.,Order Initiation,Customer ID,Product ID,Order Delivery,Export Class,Sale($),Lead Time,Quantity Sold,Discount,Revenue, Net Revenue ,Profit,Rating
4059,14-Jan-20,21910,10002906,02/12/2020,Premium Class,926,323,392,0.8,299098,59820,48,Average
3719,05-Jan-20,18220,10003063,12/11/2020,Middle Class,848,312,127,0.3,264576,185203,244,Average
3004,15-Mar-20,12520,10001590,13/06/2020,First Class,975,90,255,0,87750,87750,396,Good
4148,11-Feb-20,13045,10000952,15/10/2020,Premium Class,641,247,293,0,158327,158327,363,Good
3644,01-Apr-20,20335,10003923,23/11/2020,Premium Class,648,236,167,0,152928,152928,320,Average
3645,08-Apr-20,11710,10002312,02/11/2020,Premium Class,913,208,246,0,189904,189904,181,Average
4302,18-Mar-20,10480,10002312,17/11/2020,First Class,578,244,87,0,141032,141032,363,Average
4351,14-Apr-20,15070,10001798,06/09/2020,Premium Class,769,145,36,0,111505,111505,120,Good
4336,30-Mar-20,14815,10000454,17/12/2020,Premium Class,647,262,115,0,169514,169514,472,Average
4121,14-Feb-20,19075,10000240,16/06/2020,Middle Class,842,123,46,0,103566,103566,151,Good
3086,05-Feb-20,10270,10000577,10/12/2020,Premium Class,694,309,197,0.3,214446,150112,237,Good
4106,28-Apr-20,21925,10000760,27/09/2020,Same Day,751,152,369,0.3,114152,79906,477,Good
4572,11-Mar-20,16585,10001487,08/07/2020,Premium Class,938,119,135,0.3,111622,78135,57,Best
4199,06-Mar-20,20065,10002833,25/08/2020,Premium Class,575,172,142,0.3,98900,69230,456,Good
4383,29-Jan-20,13870,10002967,16/10/2020,Premium Class,644,261,255,0.3,168084,117659,409,Average
4993,16-Jan-20,13945,10003910,26/12/2020,Same Day,893,345,217,0.3,308085,215660,121,Average
3588,13-Mar-20,21520,10002892,02/07/2020,First Class,925,111,229,0,102675,102675,97,Good
3666,08-Mar-20,17560,10001539,30/10/2020,Premium Class,618,236,32,0,145848,145848,104,Best
3905,07-Mar-20,14485,10002033,31/07/2020,Premium Class,803,146,123,0.3,117238,82067,136,Best
3639,11-Jan-20,20710,10002365,02/06/2020,Premium Class,863,143,117,0,123409,123409,144,Good
4074,04-Mar-20,16930,10003656,08/07/2020,Premium Class,678,126,43,0,85428,85428,406,Best
3525,11-Mar-20,19885,10002311,13/10/2020,Premium Class,907,216,165,0.3,195912,137138,221,Best
